Robert Tarjan	[1: ¬(field; computer science)=0.57 2: ¬(occupation; engineer)=0.47 3: ¬(member of; Royal Society)=0.21]
Raj Reddy	[1: ¬(member of; Association for Computing Machinery)=0.59 2: ¬(field; computer science)=0.57 3: ¬(member of; National Academy of Sciences)=0.54]
Yoshua Bengio	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.73 3: ¬(occupation; university teacher)=0.7]
Herbert Alexander Simon	[1: ¬(field; computer science)=0.57 2: ¬(member of; National Academy of Engineering)=0.53 3: ¬(occupation; engineer)=0.47]
Edward Feigenbaum	[1: ¬(member of; National Academy of Sciences)=0.54 2: ¬(occupation; engineer)=0.46 3: ¬(occupation; mathematician)=0.46]
Vint Cerf	[1: ¬(occupation; mathematician)=0.47 2: ¬(employer; Massachusetts Institute of Technology)=0.27 3: ¬(academic degree; Doctor of Philosophy)=0.16]
Martin Edward Hellman	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(occupation; university teacher)=0.7 3: ¬(member of; Association for Computing Machinery)=0.59]
Shafrira Goldwasser	[1: ¬(gender; male)=0.96 2: ¬(member of; Association for Computing Machinery)=0.59 3: ¬(member of; Royal Society)=0.21]
Stephen Cook	[1: ¬(member of; National Academy of Engineering)=0.53 2: ¬(occupation; engineer)=0.47 3: ¬(employer; Massachusetts Institute of Technology)=0.27]
Amir Pnueli	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.73 3: ¬(member of; National Academy of Sciences)=0.54]
Leslie Lamport	[1: ¬(occupation; university teacher)=0.7 2: ¬(member of; Association for Computing Machinery)=0.59 3: ¬(member of; National Academy of Engineering)=0.53]
William Kahan	[1: ¬(citizen; United States of America)=0.73 2: ¬(field; computer science)=0.57 3: ¬(member of; National Academy of Sciences)=0.54]
Donald Knuth	[1: ¬(employer; Massachusetts Institute of Technology)=0.27 2: ¬(employer; University of California, Berkeley)=0.16 3: ¬(education; University of California, Berkeley)=0.16]
John L. Hennessy	[1: ¬(occupation; mathematician)=0.47 2: ¬(employer; Massachusetts Institute of Technology)=0.27 3: ¬(member of; Royal Society)=0.21]
Pat Hanrahan	[1: ¬(member of; National Academy of Sciences)=0.54 2: ¬(occupation; mathematician)=0.47 3: ¬(employer; Massachusetts Institute of Technology)=0.27]
John Backus	[1: ¬(occupation; university teacher)=0.7 2: ¬(member of; Association for Computing Machinery)=0.59 3: ¬(member of; National Academy of Engineering)=0.53]
Leslie Valiant	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(member of; Association for Computing Machinery)=0.59 3: ¬(member of; National Academy of Engineering)=0.53]
Michael Stonebraker	[1: ¬(occupation; university teacher)=0.7 2: ¬(field; computer science)=0.57 3: ¬(member of; National Academy of Sciences)=0.54]
Leonard Adleman	[1: ¬(occupation; university teacher)=0.7 2: ¬(member of; Association for Computing Machinery)=0.59 3: ¬(field; computer science)=0.57]
Juris Hartmanis	[1: ¬(occupation; engineer)=0.47 2: ¬(employer; Massachusetts Institute of Technology)=0.27 3: ¬(member of; Royal Society)=0.21]
Jim Gray	[1: ¬(occupation; university teacher)=0.7 2: ¬(occupation; engineer)=0.47 3: ¬(occupation; mathematician)=0.47]
Edgar F. Codd	[1: ¬(member of; National Academy of Sciences)=0.54 2: ¬(member of; National Academy of Engineering)=0.53 3: ¬(occupation; engineer)=0.47]
Maurice Wilkes	[1: ¬(citizen; United States of America)=0.73 2: ¬(member of; National Academy of Engineering)=0.53 3: ¬(employer; Stanford University)=0.19]
Niklaus Wirth	[1: ¬(citizen; United States of America)=0.73 2: ¬(field; computer science)=0.57 3: ¬(member of; National Academy of Sciences)=0.54]
Kristen Nygaard	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.73 3: ¬(member of; Association for Computing Machinery)=0.59]
Peter Naur	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.73 3: ¬(member of; Association for Computing Machinery)=0.59]
Bob Kahn	[1: ¬(occupation; university teacher)=0.69 2: ¬(occupation; mathematician)=0.46 3: ¬(member of; Royal Society)=0.21]
Geoffrey Hinton	[1: ¬(citizen; United States of America)=0.73 2: ¬(occupation; university teacher)=0.7 3: ¬(member of; Association for Computing Machinery)=0.59]
Butler Lampson	[1: ¬(occupation; mathematician)=0.47 2: ¬(employer; Stanford University)=0.19 3: ¬(academic degree; Doctor of Philosophy)=0.16]
Michael O. Rabin	[1: ¬(citizen; United States of America)=0.73 2: ¬(member of; Association for Computing Machinery)=0.59 3: ¬(field; computer science)=0.57]
Adi Shamir	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.73 3: ¬(occupation; university teacher)=0.7]
Alan Kay	[1: ¬(member of; National Academy of Sciences)=0.54 2: ¬(occupation; engineer)=0.47 3: ¬(occupation; mathematician)=0.47]
Fernando J. Corbató	[1: ¬(field; computer science)=0.57 2: ¬(member of; National Academy of Sciences)=0.54 3: ¬(occupation; engineer)=0.47]
Barbara Liskov	[1: ¬(gender; male)=0.96 2: ¬(occupation; mathematician)=0.47 3: ¬(member of; Royal Society)=0.21]
Alan Perlis	[1: ¬(member of; Association for Computing Machinery)=0.59 2: ¬(member of; National Academy of Sciences)=0.54 3: ¬(occupation; engineer)=0.47]
Dennis M. Ritchie	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(occupation; university teacher)=0.7 3: ¬(member of; Association for Computing Machinery)=0.59]
Yann LeCun	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(citizen; United States of America)=0.73 3: ¬(occupation; university teacher)=0.7]
Joseph Sifakis	[1: ¬(citizen; United States of America)=0.73 2: ¬(occupation; university teacher)=0.7 3: ¬(member of; Association for Computing Machinery)=0.59]
Charles Bachman	[1: ¬(member of; American Academy of Arts and Sciences)=0.74 2: ¬(occupation; university teacher)=0.7 3: ¬(member of; Association for Computing Machinery)=0.59]
Robert W. Floyd	[1: ¬(member of; National Academy of Sciences)=0.54 2: ¬(member of; National Academy of Engineering)=0.53 3: ¬(occupation; mathematician)=0.47]
Frances E. Allen	[1: ¬(gender; male)=0.96 2: ¬(occupation; mathematician)=0.47 3: ¬(employer; Massachusetts Institute of Technology)=0.27]
Andrew Yao	[1: ¬(member of; National Academy of Engineering)=0.53 2: ¬(occupation; engineer)=0.47 3: ¬(occupation; mathematician)=0.47]
